jd_utc,alt_m,lat_deg,lon_deg,wx_rad_s,wy_rad_s,wz_rad_s
2.45155e+06,240489,19.5662,-110.206,0.00221811,-0.00427709,-0.000875115
2.45155e+06,240376,19.5154,-109.453,0.00219496,-0.00425563,-0.000880932
2.45155e+06,240262,19.4618,-108.7,0.0021694,-0.00423264,-0.000887092
2.45155e+06,240148,19.4054,-107.948,0.00214129,-0.00420809,-0.000893545
2.45155e+06,240033,19.3463,-107.197,0.00211043,-0.00418191,-0.000900248
2.45155e+06,239917,19.2844,-106.446,0.00207654,-0.00415393,-0.000907073
2.45155e+06,239800,19.2198,-105.696,0.00203983,-0.00412462,-0.00091414
2.45155e+06,239683,19.1524,-104.946,0.00199986,-0.0040936,-0.000921366
2.45155e+06,239565,19.0824,-104.196,0.00195409,-0.00405865,-0.000928855
2.45155e+06,239447,19.0096,-103.448,0.00190264,-0.00402037,-0.00093647
2.45155e+06,239328,18.9341,-102.7,0.00184632,-0.00398011,-0.000943963
2.45155e+06,239208,18.8559,-101.952,0.00178481,-0.00393793,-0.000951361
2.45155e+06,239088,18.7751,-101.205,0.00172611,-0.00389909,-0.000957159
2.45155e+06,238967,18.6916,-100.459,0.00166727,-0.00386159,-0.000962168
2.45155e+06,238846,18.6055,-99.7135,0.00160834,-0.00382529,-0.000966977
2.45155e+06,238724,18.5168,-98.9686,0.00154712,-0.00378897,-0.000971599
2.45155e+06,238602,18.4254,-98.2245,0.00148397,-0.00375295,-0.000975747
2.45155e+06,238479,18.3315,-97.481,0.00141604,-0.0037158,-0.000979773
2.45155e+06,238356,18.235,-96.7384,0.00134264,-0.00367716,-0.000984067
2.45155e+06,238233,18.1359,-95.9965,0.00126619,-0.00363825,-0.000988613
2.45155e+06,238109,18.0343,-95.2553,0.00119594,-0.00360422,-0.000990156
2.45155e+06,237985,17.9301,-94.5149,0.00113123,-0.00357402,-0.000990292
2.45155e+06,237860,17.8235,-93.7754,0.00106184,-0.00354253,-0.000991337
2.45155e+06,237736,17.7144,-93.0366,0.000987048,-0.00350969,-0.000992879
2.45155e+06,237611,17.6028,-92.2987,0.000911111,-0.00347741,-0.000994259
2.45155e+06,237486,17.4888,-91.5616,0.000834133,-0.0034457,-0.000995486
2.45155e+06,237360,17.3723,-90.8254,0.000756208,-0.00341458,-0.000996569
2.45155e+06,237234,17.2534,-90.09,0.000673362,-0.00338293,-0.000996957
2.45155e+06,237109,17.1322,-89.3555,0.000585081,-0.00335097,-0.000995884
2.45155e+06,236983,17.0086,-88.6219,0.000496236,-0.00332007,-0.000993906
2.45155e+06,236857,16.8826,-87.8892,0.000409622,-0.00329019,-0.000992843
2.45155e+06,236731,16.7543,-87.1573,0.000322642,-0.00326095,-0.000991661
2.45155e+06,236605,16.6237,-86.4264,0.000235405,-0.00323193,-0.000991185
2.45155e+06,236478,16.4908,-85.6964,0.00014962,-0.00320401,-0.000990754
2.45155e+06,236352,16.3557,-84.9673,6.17502e-05,-0.00317608,-0.000990128
2.45155e+06,236226,16.2183,-84.2391,-2.70008e-05,-0.00314849,-0.000989392
2.45155e+06,236100,16.0787,-83.5119,-0.000116234,-0.00312133,-0.000988579
2.45155e+06,235974,15.9369,-82.7856,-0.000205947,-0.00309457,-0.00098769
2.45155e+06,235848,15.793,-82.0602,-0.000296146,-0.00306822,-0.000986728
2.45155e+06,235722,15.6469,-81.3358,-0.000386839,-0.00304225,-0.000985692
2.45155e+06,235597,15.4987,-80.6124,-0.000478038,-0.00301667,-0.000984582
2.45155e+06,235471,15.3483,-79.8899,-0.000569167,-0.00299161,-0.000983442
2.45155e+06,235346,15.196,-79.1683,-0.000658979,-0.00296739,-0.000982369
2.45155e+06,235221,15.0415,-78.4477,-0.000751785,-0.00294301,-0.000981021
2.45155e+06,235096,14.885,-77.7281,-0.000845159,-0.00291905,-0.000979586
2.45155e+06,234972,14.7266,-77.0094,-0.000939111,-0.00289554,-0.000978056
2.45155e+06,234848,14.5661,-76.2917,-0.00103365,-0.00287254,-0.000976424
2.45155e+06,234724,14.4037,-75.5749,-0.00112602,-0.0028508,-0.000974691
2.45155e+06,234601,14.2394,-74.8591,-0.00121623,-0.00282961,-0.000973861
2.45155e+06,234478,14.0732,-74.1443,-0.00131002,-0.00280787,-0.000974106
2.45155e+06,234356,13.9051,-73.4304,-0.0014043,-0.00278682,-0.000974265
2.45155e+06,234234,13.7351,-72.7174,-0.00149902,-0.00276653,-0.000974329
2.45155e+06,234112,13.5633,-72.0054,-0.00159415,-0.00274708,-0.000974288
2.45155e+06,233991,13.3897,-71.2944,-0.00168964,-0.00272853,-0.000974129
2.45155e+06,233871,13.2144,-70.5842,-0.00178542,-0.00271096,-0.000973841
2.45155e+06,233751,13.0373,-69.8751,-0.00188189,-0.0026939,-0.000974774
2.45155e+06,233631,12.8585,-69.1668,-0.00197859,-0.00267794,-0.000975695
2.45155e+06,233513,12.678,-68.4595,-0.00207536,-0.00266323,-0.000976449
2.45155e+06,233395,12.4958,-67.7531,-0.00217208,-0.00264984,-0.000977017
2.45155e+06,233277,12.312,-67.0475,-0.00226866,-0.00263787,-0.000977379
2.45155e+06,233161,12.1266,-66.3429,-0.00236496,-0.00262738,-0.000977514
2.45155e+06,233045,11.9396,-65.6392,-0.00246087,-0.00261846,-0.000977401
2.45155e+06,232930,11.751,-64.9364,-0.0025565,-0.0026108,-0.00097883
2.45155e+06,232815,11.5609,-64.2345,-0.00265165,-0.00260487,-0.000980148
2.45155e+06,232702,11.3693,-63.5334,-0.00274626,-0.00260079,-0.000981152
2.45155e+06,232589,11.1762,-62.8332,-0.00284038,-0.00259869,-0.000981812
2.45155e+06,232477,10.9817,-62.1339,-0.00293411,-0.00259865,-0.000982118
2.45155e+06,232366,10.7857,-61.4354,-0.00291622,-0.00260118,-0.0009777
2.45155e+06,232256,10.5883,-60.7377,-0.00288703,-0.00260355,-0.000972625
2.45155e+06,232147,10.3896,-60.0408,-0.00285758,-0.00260557,-0.000967107
2.45155e+06,232038,10.1896,-59.3448,-0.00283021,-0.00260718,-0.000963036
2.45155e+06,231931,9.98821,-58.6495,-0.00280777,-0.002609,-0.000960824
2.45155e+06,231825,9.78555,-57.955,-0.00278722,-0.00261064,-0.0009625
2.45155e+06,231720,9.58165,-57.2613,-0.00276795,-0.00261254,-0.000965028
2.45155e+06,231616,9.37651,-56.5684,-0.00275138,-0.00261512,-0.000968139
2.45155e+06,231513,9.17017,-55.8762,-0.00274478,-0.00261974,-0.000973142
2.45155e+06,231411,8.96266,-55.1848,-0.00274119,-0.00262585,-0.000981602
2.45155e+06,231310,8.75401,-54.494,-0.002748,-0.00263499,-0.000992076
2.45155e+06,231210,8.54424,-53.804,-0.00276434,-0.00264679,-0.0010036
2.45155e+06,231111,8.33339,-53.1146,-0.00278516,-0.00266201,-0.00101609
2.45155e+06,231014,8.12147,-52.426,-0.00281124,-0.00268029,-0.00102822
2.45155e+06,230918,7.90852,-51.738,-0.00284345,-0.00270261,-0.00104025
2.45155e+06,230823,7.69457,-51.0506,-0.00287559,-0.00272798,-0.00105432
2.45155e+06,230729,7.47965,-50.3639,-0.00291431,-0.00275851,-0.00107161
2.45155e+06,230637,7.26377,-49.6778,-0.00296167,-0.00279509,-0.00109
2.45155e+06,230546,7.04698,-48.9923,-0.00301462,-0.00283865,-0.00111026
2.45155e+06,230456,6.8293,-48.3073,-0.00306927,-0.00288715,-0.00113158
2.45155e+06,230367,6.61076,-47.6229,-0.00312531,-0.00294114,-0.00115303
2.45155e+06,230280,6.39139,-46.9391,-0.0031862,-0.00300323,-0.00117598
2.45155e+06,230194,6.1712,-46.2558,-0.00325346,-0.00307642,-0.00120086
2.45155e+06,230110,5.95025,-45.5731,-0.00331969,-0.00315505,-0.00122578
2.45155e+06,230027,5.72854,-44.8908,-0.00338637,-0.00324072,-0.00125048
2.45155e+06,229945,5.50612,-44.209,-0.00345142,-0.00333384,-0.00127561
2.45155e+06,229865,5.283,-43.5276,-0.00351197,-0.00343115,-0.00130072
2.45155e+06,229786,5.05922,-42.8467,-0.00356943,-0.00353445,-0.00132666
2.45155e+06,229709,4.83481,-42.1663,-0.003625,-0.00364801,-0.00135484
2.45155e+06,229633,4.60979,-41.4862,-0.00367769,-0.00377055,-0.00138403
2.45155e+06,229559,4.38419,-40.8065,-0.00372889,-0.00390191,-0.00140911
2.45155e+06,229486,4.15805,-40.1272,-0.0037757,-0.00403944,-0.00143187
2.45155e+06,229415,3.93138,-39.4482,-0.00381712,-0.00418225,-0.00145301
2.45155e+06,229345,3.70423,-38.7696,-0.00385223,-0.0043343,-0.0014759
2.45155e+06,229277,3.47661,-38.0913,-0.00388165,-0.00449711,-0.00149804
2.45155e+06,229210,3.24855,-37.4133,-0.00390478,-0.00466403,-0.0015159
2.45155e+06,229145,3.02009,-36.7355,-0.00392007,-0.00482638,-0.00153018
2.45155e+06,229082,2.79125,-36.058,-0.00392781,-0.00497695,-0.00153904
2.45155e+06,229020,2.56206,-35.3808,-0.00392921,-0.00514686,-0.00154424
2.45155e+06,228960,2.33275,-34.7043,-0.00392287,-0.00524094,-0.00155023
2.45155e+06,228901,2.10295,-34.0274,-0.003909,-0.00534219,-0.00156138
2.45155e+06,228844,1.87288,-33.3507,-0.00388712,-0.00544837,-0.00157849
2.45155e+06,228789,1.64259,-32.6742,-0.00385345,-0.00556892,-0.00160711
2.45155e+06,228736,1.41208,-31.9978,-0.0038141,-0.00568353,-0.00163967
2.45155e+06,228684,1.1814,-31.3215,-0.00377258,-0.00578716,-0.00167173
2.45155e+06,228633,0.950566,-30.6453,-0.00372795,-0.00588506,-0.00170839
2.45155e+06,228585,0.719614,-29.9692,-0.00367733,-0.00598476,-0.00174922
2.45155e+06,228538,0.488569,-29.2932,-0.00361639,-0.00609649,-0.00179391
2.45155e+06,228492,0.257461,-28.6172,-0.00355351,-0.00620219,-0.00184172
